"Are you sure you want to do this?","Are you sure you want to do this?"
"Delete Tab","Delete Tab"
"Are you sure you want to duplicate this?","Are you sure you want to duplicate this?"
Duplicate,Duplicate
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Conditions,Conditions
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
N/A,N/A
No,No
"We can't change item right now. Please review the log and try again.","We can't change item right now. Please review the log and try again."
"A total of %1 record(s) have been changed.","A total of %1 record(s) have been changed."
"No records have been changed.","No records have been changed."
"You have deleted the tab.","You have deleted the tab."
"You can't delete default tab.","You can't delete default tab."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"You have duplicated the tab.","You have duplicated the tab."
"You can't duplicated default tab.","You can't duplicated default tab."
"We can't duplicate item right now. Please review the log and try again.","We can't duplicate item right now. Please review the log and try again."
"Edit Tab ""%1""","Edit Tab ""%1"""
"This tab no longer exists.","This tab no longer exists."
"New Tab","New Tab"
"Amasty Advanced Tabs","Amasty Advanced Tabs"
"Tab Management","Tab Management"
"You can't delete default tab with ID %1.","You can't delete default tab with ID %1."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"You can't duplicate default tab with ID %1.","You can't duplicate default tab with ID %1."
"A total of %1 record(s) have been duplicated.","A total of %1 record(s) have been duplicated."
"Tab has been saved.","Tab has been saved."
"The wrong item is specified.","The wrong item is specified."
%1,%1
"Custom Variables","Custom Variables"
All,All
Disabled,Disabled
Enabled,Enabled
Custom,Custom
Default,Default
3rd-party,3rd-party
"Unable to save tabs with ID %1. Error: %2","Unable to save tabs with ID %1. Error: %2"
"Unable to save new tabs. Error: %1","Unable to save new tabs. Error: %1"
"Tabs with specified ID ""%1"" not found.","Tabs with specified ID ""%1"" not found."
"Unable to remove tabs with ID %1. Error: %2","Unable to remove tabs with ID %1. Error: %2"
"Unable to remove tabs. Error: %1","Unable to remove tabs. Error: %1"
"Copy of ","Copy of "
"Insert Attribute...","Insert Attribute..."
"Please kindly keep in mind that the changes won't be applied to frontend.
     To make your changes visible on frontend please set 'Allow Editing Default Magento Tabs' to 'Yes'
     <a target=""_blank"" href=""%1"">here</a>.","Please kindly keep in mind that the changes won't be applied to frontend.
     To make your changes visible on frontend please set 'Allow Editing Default Magento Tabs' to 'Yes'
     <a target=""_blank"" href=""%1"">here</a>."
Active,Active
Inactive,Inactive
"Edit Attribute","Edit Attribute"
"Insert Attribute","Insert Attribute"
"The attribute %1 is no longer available. Select a different attribute.","The attribute %1 is no longer available. Select a different attribute."
Cancel,Cancel
Save,Save
"Product Tabs","Product Tabs"
Information,Information
General,General
"Extension Enabled","Extension Enabled"
"Allow Editing Default Magento Tabs","Allow Editing Default Magento Tabs"
"Accordion View","Accordion View"
"Amasty Tabs","Amasty Tabs"
"Indexed tab/product association","Indexed tab/product association"
"Indexed product/tab association","Indexed product/tab association"
"Attribute Name","Attribute Name"
"Attribute Code","Attribute Code"
"Edit Tab","Edit Tab"
Back,Back
"Save Tab","Save Tab"
"Save and Continue Edit","Save and Continue Edit"
"Tabs Details","Tabs Details"
Type,Type
"
                            <ul>
                            <li>‘Default’ - default Magento tabs</li>
                            <li>‘Custom’ - the tabs created via the extension</li>
                            <li>‘3rd-party’ - the tabs generated by any other third-party extensions</li>
                            </ul>
                        ","
                            <ul>
                            <li>‘Default’ - default Magento tabs</li>
                            <li>‘Custom’ - the tabs created via the extension</li>
                            <li>‘3rd-party’ - the tabs generated by any other third-party extensions</li>
                            </ul>
                        "
Status,Status
"Tab Name","Tab Name"
"Set tab name describing its content/conditions to display","Set tab name describing its content/conditions to display"
"Tab Title","Tab Title"
"Tab name to be displayed on product pages","Tab name to be displayed on product pages"
"Tab Order","Tab Order"
"Tab Anchor","Tab Anchor"
"Adjust the anchor to set up custom url for the tab. Leave blank to use the value from the configuration.","Adjust the anchor to set up custom url for the tab. Leave blank to use the value from the configuration."
"Store View","Store View"
"Customer Groups","Customer Groups"
"Tab Content","Tab Content"
"Edit Tab Content","Edit Tab Content"
"Related, Up-Sell, Cross-Sell Products","Related, Up-Sell, Cross-Sell Products"
"Show Related Products","Show Related Products"
"Show Up-Sell Products","Show Up-Sell Products"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Assign to Products","Assign to Products"
"Add New Tab","Add New Tab"
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
Enable,Enable
Disable,Disable
ID,ID
"Module Name","Module Name"
"Customer Group","Customer Group"
Edit,Edit
