"Mobile Images Folder","Mobile Images Folder"
"Tablet Images Folder","Tablet Images Folder"
"WebP Images Folder","WebP Images Folder"
"Tool `%1` doesn't exist","Tool `%1` doesn't exist"
Cwebp,Cwebp
Gifsicle,Gifsicle
"Jpegoptim 100% quality","Jpegoptim 100% quality"
"Jpegoptim 80% quality","Jpegoptim 80% quality"
"Jpegoptim 90% quality","Jpegoptim 90% quality"
Optipng,Optipng
"exec function is disabled.","exec function is disabled."
"Image Optimization Tool ""%1"" is not installed","Image Optimization Tool ""%1"" is not installed"
"Couldn't clear `%1` folder","Couldn't clear `%1` folder"
Resize,Resize
Crop,Crop
Disabled,Disabled
Enabled,Enabled
"Yes (Recommended)","Yes (Recommended)"
No,No
"Automatic Optimization of the Newly Uploaded Images","Automatic Optimization of the Newly Uploaded Images"
"Automatically Optimize Newly Uploaded Images in Catalog and Wysiwyg folders","Automatically Optimize Newly Uploaded Images in Catalog and Wysiwyg folders"
"JPEG Optimization Tool","JPEG Optimization Tool"
"PNG Optimization Tool","PNG Optimization Tool"
"GIF Optimization Tool","GIF Optimization Tool"
"Create Webp Copy","Create Webp Copy"
"Create Images in Smaller Resolutions","Create Images in Smaller Resolutions"
"Resize Algorithm","Resize Algorithm"
"Dump Original Images","Dump Original Images"
"Delete Previously Generated WebP & Resized Images","Delete Previously Generated WebP & Resized Images"
"Do not Optimize","Do not Optimize"
"Do not Convert","Do not Convert"
